snr	1	0.98	0.96	0.94	0.92	0.9	0.88	0.86	0.84	0.82	0.8	0.78	0.76	0.74	0.72	0.7	0.68	0.66	0.64	0.62	0.6	0.58	0.56	0.54	0.52	0.5
3.5	1.40E-03	1.40E-03	1.46E-03	1.41E-03	1.51E-03	1.60E-03	1.63E-03	1.63E-03	1.82E-03	1.90E-03	1.98E-03	2.30E-03	2.41E-03	2.66E-03	2.77E-03	3.13E-03	3.45E-03	3.77E-03	4.23E-03	4.67E-03	4.98E-03	5.33E-03	6.65E-03	7.18E-03	7.83E-03	1.01E-02
3.75	1.18E-03	1.20E-03	1.18E-03	1.16E-03	1.21E-03	1.28E-03	1.27E-03	1.38E-03	1.42E-03	1.60E-03	1.63E-03	1.86E-03	1.96E-03	2.14E-03	2.30E-03	2.63E-03	2.79E-03	3.00E-03	3.54E-03	3.83E-03	4.04E-03	4.48E-03	5.37E-03	5.98E-03	6.19E-03	7.99E-03
4	9.45E-04	9.39E-04	9.22E-04	9.86E-04	9.63E-04	1.02E-03	1.08E-03	1.09E-03	1.23E-03	1.23E-03	1.31E-03	1.50E-03	1.57E-03	1.70E-03	1.78E-03	2.04E-03	2.28E-03	2.40E-03	2.89E-03	3.21E-03	3.31E-03	3.74E-03	4.38E-03	4.88E-03	5.16E-03	6.39E-03
4.25	7.77E-04	7.80E-04	7.51E-04	7.83E-04	7.85E-04	8.27E-04	8.64E-04	8.50E-04	9.71E-04	9.90E-04	1.07E-03	1.21E-03	1.24E-03	1.35E-03	1.47E-03	1.70E-03	1.90E-03	1.93E-03	2.31E-03	2.50E-03	2.68E-03	2.91E-03	3.55E-03	3.85E-03	4.24E-03	5.08E-03
4.5	6.15E-04	6.42E-04	6.35E-04	6.38E-04	6.66E-04	6.62E-04	7.16E-04	7.19E-04	7.53E-04	8.16E-04	8.21E-04	9.75E-04	1.01E-03	1.07E-03	1.15E-03	1.32E-03	1.52E-03	1.58E-03	1.81E-03	2.01E-03	2.17E-03	2.36E-03	2.99E-03	3.17E-03	3.41E-03	4.12E-03
4.75	5.12E-04	4.88E-04	5.13E-04	4.96E-04	5.25E-04	5.20E-04	5.53E-04	5.69E-04	6.10E-04	6.67E-04	6.83E-04	7.77E-04	8.22E-04	8.35E-04	9.11E-04	1.05E-03	1.16E-03	1.24E-03	1.48E-03	1.58E-03	1.74E-03	1.92E-03	2.30E-03	2.60E-03	2.80E-03	3.30E-03
5	4.02E-04	3.90E-04	3.82E-04	3.86E-04	4.08E-04	4.09E-04	4.23E-04	4.42E-04	4.97E-04	5.16E-04	5.35E-04	5.88E-04	6.65E-04	6.62E-04	7.33E-04	8.06E-04	9.47E-04	1.00E-03	1.22E-03	1.22E-03	1.37E-03	1.51E-03	1.85E-03	2.04E-03	2.19E-03	2.68E-03
5.25	2.95E-04	2.94E-04	3.08E-04	3.00E-04	2.91E-04	3.17E-04	3.20E-04	3.27E-04	3.82E-04	3.94E-04	4.07E-04	4.45E-04	4.83E-04	5.36E-04	5.47E-04	6.38E-04	7.19E-04	7.66E-04	9.03E-04	1.04E-03	1.04E-03	1.20E-03	1.46E-03	1.63E-03	1.75E-03	2.12E-03
5.5	2.28E-04	2.21E-04	2.18E-04	2.11E-04	2.22E-04	2.26E-04	2.33E-04	2.42E-04	2.65E-04	2.99E-04	2.92E-04	3.47E-04	3.69E-04	3.85E-04	4.27E-04	4.94E-04	5.45E-04	5.91E-04	7.05E-04	7.74E-04	8.53E-04	9.41E-04	1.13E-03	1.27E-03	1.39E-03	1.67E-03
5.75	1.55E-04	1.59E-04	1.61E-04	1.60E-04	1.63E-04	1.74E-04	1.75E-04	1.85E-04	2.08E-04	2.19E-04	2.22E-04	2.61E-04	2.84E-04	3.07E-04	3.19E-04	3.74E-04	4.12E-04	4.40E-04	5.18E-04	5.89E-04	6.24E-04	7.13E-04	8.37E-04	9.53E-04	1.05E-03	1.28E-03
